smiles,IC50(nM)
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CN(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCC(O)=O)NC1=O)C(=O)NCC(N)=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;$|",6.4
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CN(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCCCN)NC1=O)C(=O)NCC(N)=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;$|",55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CN(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCC(O)=O)NC1=O)C(=O)NCC(N)=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;$|",55
"CCCC[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCC)N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2csc3ccccc23)NC1=O)C(=O)NCC(N)=O |r,$;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",6.4
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCC(=O)NCC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](CCCNC(N)=N)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N2 |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCNC(=O)CNC(=O)[C@H](CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3cn(cn3)C(=O)C(F)(F)F)C(=O)N[C@@H](CC(C)C)C(=O)N2)NC(=O)[C@H](C)NC1=O |r|,55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCC(=O)NCCC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](CCCNC(N)N)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N2 |r|,55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)NCC(N)=O |r|,550
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)NCC(N)=O |r|,550
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)NCC(N)=O |r|,550
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)NCC(N)=O |r|,550
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)C(CC(O)=O)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCC(O)=O)NC1=O)C(=O)NCC(N)=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
CCCC[C@H](N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)NC(=O)[C@H](CC=C)NC(=O)[C@H](Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cncn1C(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc1ccc(OC(C)(C)C)cc1)NC(=O)CCl)C(=O)N[C@@H](CC=C)C(=O)N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)NCC(N)=O |r|,55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]2CCC(=O)NCCC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)C1CCC[C@H]1C(=O)N[C@@H](Cc1cn(cn1)C(=O)C(F)(F)F)C(=O)N2 |r|,7
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)CC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]2CCCNC(=O)CC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)C1CCC[C@H]1C(=O)N[C@@H](Cc1cn(cn1)C(=O)C(F)(F)F)C(=O)N2 |r|,6.4
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCNC(=O)CNC(=O)[C@H](CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N3CCCC3C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CC(C)C)C(=O)NC2)NC(=O)[C@H](C)NC1=O |r|,55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCNC(=O)C[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCNC(=O)CC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCNCC(=O)CNC(=O)[C@H](CSCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N(C)[C@@H](C)C(=O)C[C@@H](CC(N)=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)N[C@@H](CC(C)C)C(=O)N2)NC(=O)[C@H](C)NC1=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",993
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCC(=O)NCC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCNC(=O)CC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCC(=O)NCCC[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r|,55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCCNC(=O)C[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r|,55
CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCNC(=O)C[C@H](NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CSC[C@H](NC(=O)[C@H](C)NC1=O)C(=O)NCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N2 |r|,55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)C(CCC(N)=O)NC1=O)C(=O)NCC(N)=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",55
"CCCC[C@@H]1N(C)C(=O)[C@H](CCCC)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCC(O)=O)NC1=O)C(=O)NCC(N)=O |r,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|",14
