Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL4447172,,None,547.6,1,1.93,A31,CS(=O)(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,IC50,'=',983.4,nM,6.01,,,UO_0000065,10.97,0.21,4.08,3.76,0,CHEMBL4394423,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4393667,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4475015,,None,500.56,1,2.95,A25,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,IC50,'=',565.8,nM,6.25,,,UO_0000065,12.48,0.23,3.3,5.26,0,CHEMBL4394423,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4393667,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4586685,,None,459.51,0,2.81,A22,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,IC50,'=',92.3,nM,7.04,,,UO_0000065,15.31,0.28,4.22,6.39,1,CHEMBL4394423,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4393667,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4442851,,None,445.52,0,2.74,A12,Cc1c(NC(=O)c2cc(CN(C)CC(O)CO)cn3cnnc23)cccc1-c1ccccc1,IC50,'=',374.6,nM,6.43,,,UO_0000065,14.42,0.27,3.69,6.24,0,CHEMBL4394423,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4393667,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4861315,,None,352.82,0,4.94,4e,OCc1ccc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)cc1,IC50,'=',510,nM,6.29,,,UO_0000065,17.83,0.34,1.35,16.26,0,CHEMBL4836819,Inhibition of human PD1/PDL1 protein-protein interaction assessed as undissociated complex after 2 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4834474,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.0 hr,INHIBITOR
CHEMBL4879098,,None,455.94,0,3.9,8i,COc1cc(-c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)ccc1CNC(CO)CO,IC50,'<',1,nM,,,,UO_0000065,,,,,0,CHEMBL4836819,Inhibition of human PD1/PDL1 protein-protein interaction assessed as undissociated complex after 2 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4834474,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.0 hr,INHIBITOR
CHEMBL4089730,,None,419.53,0,3.87,BMS-202,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',18,nM,7.75,,,UO_0000065,18.46,0.34,3.87,10.69,0,CHEMBL4842016,Inhibition of human PD1/PDL1 protein-protein interaction expressed in Escherichia coli BL21 (DE3) by HTRF assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4840360,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR
CHEMBL4877207,,None,477.59,0,4.05,A30,O=C(c1ncc(CNC2CCOCC2)s1)N1CCc2c(-c3ccc4c(c3)OCCO4)cccc21,IC50,'=',11.2,nM,7.95,,,UO_0000065,16.65,0.32,3.9,10.9,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4870174,,None,417.46,0,4.41,B13,Cc1c(-c2ccc3c(c2)OC(=O)N(CCO)C3)cccc1-c1ccc2c(c1)OCCO2,IC50,,,,,,Not Active,,,,,,0,CHEMBL4828906,Inhibition of Tag2-PD1/Tag1-PD-L1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2 hrs in dark by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4828707,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 2.25 hr,
CHEMBL4862148,,None,482.63,0,4.26,C4,Cc1c(-c2ccc(CNCCO)nc2)cccc1-c1cccc(-c2ccc(CNCCO)cn2)c1C,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL4828906,Inhibition of Tag2-PD1/Tag1-PD-L1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2 hrs in dark by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4828707,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 2.25 hr,
